latitude,longtitute
24.83114,121.01343
24.954224,121.240181
24.83114,121.01343
25.074141,121.363265
25.051741,121.522821
23.70271786,120.53132595
22.62542235,120.35359471
25.043942,121.508222
25.050921,121.522884
25.035407,121.567728
22.625034,120.301894
22.622593,120.317721
25.03609,121.567276
25.036094,121.568699
25.050587,121.522167
25.01339,121.215147
24.80968,120.974938
25.034435,121.565774
25.038828,121.566783
25.047203,121.517044
25.05452697,121.60679267
23.001908,120.206016
23.490113,120.452919
22.668711,120.486353
25.028356,121.550222
25.074766,121.577823
25.036295,121.546984
22.622153,120.307468
22.664304,120.310461
25.046254,121.516417
25.111845,121.531417
25.039524,121.565222
25.08283,121.55695
22.619339,120.2961
22.68951235,120.31091471
25.052443,121.520619
25.039752,121.553495
25.014361,121.463614
25.05259,121.607455
22.989087,120.23055
22.620699,120.302283
25.046254,121.516417
25.038828,121.566783
25.042487,121.551096
24.150998,120.663946
24.257091,120.518158
25.051856,121.522625
22.594979,120.307095
25.071241,121.363547
25.029168,121.522079
25.027178,121.54347
25.013039,121.535375
24.15368,120.686349
24.177711,120.646346
22.624781,120.305463
25.089271,121.526104
23.473265,120.441178
25.045168,121.517051
25.027544,121.493327
24.802001,120.970356
25.049409,121.516091
25.041248,121.54303
25.044081,121.525454
25.040672,121.547818
24.807731,121.033939
25.044728,121.50548
25.032066,121.52925
25.032027,121.529458
25.014361,121.463614
25.058484,121.616255
25.057384,121.524997
25.04464,121.544384
24.561675,120.818111
24.148236,120.701987
25.077665,121.577675
22.615627,120.301496
24.0680675,120.5351366
25.035658,121.567403
25.057409,121.522589
25.081153,121.556157
25.040762,121.551222
25.044347,121.545903
25.021882,121.421613
22.79381,120.292515
24.992259,121.505125
25.034919,121.508155
25.025259,121.55164
25.01489559,121.212701
25.060218,121.369498
24.800961,120.9688
25.046737,121.553224
25.051835,121.520124
25.00775202,121.46138752
25.022509,121.528068
25.01489559,121.212701
24.978765,121.445127
25.052688,121.607166
25.052363,121.524368
25.052443,121.520619
25.022245,121.543193
25.041918,121.555236
25.046076,121.517036
25.051011,121.523552
22.68754235,120.30688471
