store_id,main_store
255,博多幸龍總本店
256,博多拉麵
257,富士山55沾麵二號店
258,富山天滿
259,富山黑拉麵桃機
260,らーめん七面鳥
261,拉麵公子
262,ラーメン凪Ramen Nagi
263,拉麵匠心食堂
264,拉麵小店らー麵華美麵屋聚
265,拉麵山田
266,拉麵廣田
267,拉麵拉麵專門店
268,拉麵酒場博多豚箱butabako
269,麵柒八
270,東京家系衛門府豚骨拉麵專門店
271,東京醬油拉麵超極丸
272,橫濱屋初代村田
273,火曜三番目
274,火曜二代目拉麵
275,豚骨家
276,豚骨醬油拉麵初
277,道樂商店
278,道樂屋臺
279,道樂拉麵專門店
280,雞二二店
281,雞二拉麵本店
282,鷹流拉麵臺湾本店
283,麵家勝八
284,麵家宇味
285,麵屋Luna
286,麵屋hiro
287,麵屋かとむら
288,麵屋偶拉麵本也
289,麵屋六花
290,麵屋北辰めん処北辰
291,麵屋十八甲
292,麵屋千雲Chikumo
293,麵屋山茶SanCha
294,麵屋川去MENYA Kawasari
295,麵屋昕家
296,麵屋柴 雞白湯拉麵專賣店
297,麵屋浩Hiroshi
298,麵屋牛一
299,麵屋田宗拉麵
300,麵屋百味
301,麵屋祥東京醬油拉麵
302,麵屋秀
303,麵屋絆臺灣一號店
304,麵屋緣enishi京都餘香
305,麵屋趣
306,麵屋輝
307,麵屋道樂
308,麵屋零
309,麵屋青鈴
310,麵屋高
311,五之神水產
312,五之神製作所臺灣
313,北海道岩見沢拉麵
314,北海道札幌拉麵羽畠食堂
315,麵屋一人
316,麵屋一擊
317,麵屋一番
318,麵屋一虎ICHI TORA
319,麵屋一鮫
320,麵屋三郎
321,麵屋三金
322,麵屋壹慶
323,麵屋秋匠
324,麵屋秋鳴
325,麵屋豚介拉麵專門店
326,麵屋豚彩
327,鷹流東京涼麵 油そば本舗涼風庵RyofuhAn
328,鷹流東京蝦拉麵 小桜koharu
329,鷹流東京豚骨拉麵 極匠gokujoh
330,Mr拉麵絆
331,Mr拉麵之野崎家
332,RamenIzakaya空海拉麵
333,一幻拉麵x胡同居酒屋
334,中華そば太郎拉麵
335,東京豚骨拉麵之野崎家
336,吾妻拉麵
337,橫濱家系拉麵特濃屋
338,辣麻味噌拉麵鬼金棒
339,黑田屋
340,沖繩拉麵 本也
341,烹星
342,白露拉麵
343,竹野家拉麵
344,雙豚拉麵
345,山禾堂拉麵
346,長生塩人
347,麵匠川上
348,MENmonster
349,神樂軒
350,麵屋霖
351,貍匠拉麵深夜食堂
352,誘屋拉麵
353,丸宗拉麵
354,麵家壹霖丸
355,麵処田治
356,雲鶴拉麵
357,讓麵煮一會
358,新撰組中科所
359,23私房拉麵Ramen
360,山友拉麵
361,寫樂拉麵 勝利路店
362,夏川拉麵
363,五黒家拉麵
364,中華拉麵王
365,suekko末っ子食堂
366,うし手打拉麵臺式
